timestamp,edge,lat,long,head,time,bitrate,jitter,lost
1663855130.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.32,0
1663855130.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.99,0.433,0
1663855130.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.88,0.417,0
1663855130.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,7.18,0.641,0
1663855130.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.11,0.38,0
1663855130.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.305,0
1663855131.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.162,0
1663855131.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.22,0.305,0
1663855131.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.57,0.401,1
1663855131.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.159,0
1663855131.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.46,0.171,0
1663855131.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.319,0
1663855131.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.22,0.377,0
1663855131.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.34,0.429,1
1663855131.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,8.11,0.293,0
1663855131.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,3.71,2.25,0
1663855132.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,0.695,6.005,0
1663855132.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,2.09,4.895,5
1663855132.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,0.927,6.519,0
1663855132.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,1.39,6.518,0
1663855132.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,2.55,5.851,8
1663855132.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,6.37,3.163,0
