timestamp,edge,lat,long,head,time,bitrate_cell,jitter_cell,lost_cell
1663855131.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.6,0.567,0
1663855131.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,18.5,0.68,0
1663855131.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.3,0.691,0
1663855131.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.5,0.562,0
1663855131.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.2,0.755,0
1663855132.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.0,0.653,0
1663855132.1,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,17.9,0.59,0
1663855132.2,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.9,0.92,0
1663855132.3,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,19.4,0.631,0
1663855132.4,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.0,0.924,0
1663855132.5,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.7,0.545,0
1663855132.6,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,17.2,1.204,0
1663855132.7,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,16.3,0.662,0
1663855132.8,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,20.2,0.658,0
1663855132.9,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,24.2,0.617,0
1663855133.0,"(3596765030, 1487207562, 0)",40.64354,-8.659371667,139.08,13:58,21.9,0.649,0
1663855133.1,"(1487207562, 3596765030, 0)",40.64353981498397,-8.659371481983962,139.08,13:58,19.5,0.836,0
1663855133.2,"(3596765030, 1487207562, 0)",40.64353962996793,-8.659371296967924,139.08,13:58,19.3,0.523,0
1663855133.3,"(1487207562, 3596765030, 0)",40.64353944495189,-8.659371111951886,139.08,13:58,18.3,0.631,0
1663855133.4,"(1487207562, 3596765030, 0)",40.64353925993586,-8.65937092693585,139.08,13:58,21.6,0.553,0
1663855133.5,"(1487207562, 3596765030, 0)",40.64353907491983,-8.659370741919815,139.08,13:58,21.4,0.656,0
1663855133.6,"(1487207562, 3596765030, 0)",40.64353888990378,-8.65937055690378,139.08,13:58,19.4,0.556,0
1663855133.7,"(3596765030, 1487207562, 0)",40.64353870488774,-8.659370371887748,139.08,13:58,19.8,0.887,0
1663855133.8,"(1487207562, 3596765030, 0)",40.64353851987171,-8.659370186871717,139.08,13:58,20.0,0.877,0
1663855133.9,"(1487207562, 3596765030, 0)",40.64353833485567,-8.659370001855686,139.08,13:58,19.7,0.586,0
1663855134.0,"(1487207562, 3596765030, 0)",40.643538333,-8.65937,142.7027215938433,13:58,20.2,0.666,0
1663855134.1,"(3596765030, 1487207562, 0)",40.6435370382207,-8.65936833518853,142.7027215938433,13:58,20.5,0.694,0
